"age","gender","educ","income","religion","state","partyid","slavery","try","favors","deserve","ideo","date","marry","vote","trumpft","clintonft","color2","abtrace","checkemo","treat","treat2","raceresent","oldfash","trumpvote","trumpvclinft"
34,1,6,25,5,33,3,4,5,2,5,4,1,5,1,10,46,"3,5",1,"20",3,1,0.19494971146719,-1.35285779580556,0,-36
51,2,4,18,1,1,3,4,2,2,4,4,2,3,1,51,82,"3,5",2,"20",4,1,0.990046411653211,0.37127871372956,0,-31
32,2,5,19,6,41,3,3,3,2,4,3,1,5,3,41,45,"3,5",2,"20",2,1,0.251271744539054,-1.35285779580556,0,-4
25,1,4,10,6,18,6,2,2,2,2,4,2,2,2,95,49,"5",2,"1,13,3,16,18",1,0,-0.45880125361504,0.880024296731842,1,46
26,2,5,20,2,36,3,3,4,5,1,3,1,3,1,7,72,"3,5",1,"20",3,1,-2.61338884383253,-0.335366629801002,0,-65
45,2,2,18,6,10,1,1,5,5,1,1,1,5,1,0,100,"6",1,"4,10",4,1,-3.70056524520785,-1.35285779580556,0,-100
47,1,5,25,5,33,1,2,4,4,2,1,1,5,1,2,74,"6",1,"20",2,1,-2.13702802625416,-1.35285779580556,0,-72
61,1,5,18,1,14,6,5,2,1,5,6,3,1,2,70,1,"3,5",2,"20",5,1,2.1632106977539,2.09541522326469,1,69
54,1,6,18,2,19,5,2,4,3,4,5,1,5,2,89,5,"3,5",2,"16,5",2,1,-0.936243376041668,-1.35285779580556,1,84
55,1,4,18,6,50,5,5,2,2,5,5,3,3,2,32,0,"3,5",2,"20",2,1,1.71447024428734,1.07792405726012,1,32
42,2,5,25,5,31,1,1,5,5,1,1,1,5,1,0,90,"3,5",1,"20",2,1,-3.70056524520785,-1.35285779580556,0,-90
29,2,5,24,2,5,4,3,1,1,3,4,1,5,1,NA,50,"5",1,"12,15,6",5,1,1.10473596533865,-1.35285779580556,0,NA
21,2,3,9,5,50,2,4,2,2,4,3,2,2,1,11,53,"5",2,"12,14,3,4,5,17,6,7",3,1,0.990046411653211,0.880024296731842,0,-42
59,2,5,25,2,33,6,2,3,3,3,5,3,3,1,32,72,"5",2,"20",2,1,-0.921892541561637,1.07792405726012,0,-40
37,2,3,9,5,10,4,4,3,2,5,3,1,5,2,59,4,"3,5",1,"20",5,1,0.97569557717318,-1.35285779580556,1,55
19,2,3,11,6,13,4,5,1,2,3,4,1,3,4,33,29,"6",2,"1,14",4,1,1.3527989803944,-0.335366629801002,0,4
46,2,3,11,6,44,1,1,1,2,4,1,1,4,1,51,100,"3,5",1,"1,3",1,0,0.335214141722722,-0.844112212803283,0,-49
37,2,2,19,6,38,1,3,1,1,4,2,1,3,1,0,58,"3,5",2,"20",2,1,1.48075806371161,-0.335366629801002,0,-58
51,2,4,18,5,39,3,2,4,3,2,4,1,3,1,1,70,"3,5",2,"20",1,0,-1.6882875727876,-0.335366629801002,0,-69
39,2,4,14,5,34,4,2,2,2,3,4,3,3,2,66,41,"2",2,"20",1,0,-0.0827791552420761,1.07792405726012,1,25
48,1,4,17,5,33,2,1,4,3,2,2,1,5,3,8,33,"3,5",1,"20",2,1,-2.03668930704876,-1.35285779580556,0,-25
55,2,5,24,3,31,4,4,3,3,3,3,1,4,1,8,70,"3,5",1,"20",4,1,-0.225089073039314,-0.844112212803283,0,-62
31,2,3,10,5,39,7,1,1,1,1,4,1,3,4,11,45,"4",2,"20",4,1,-0.344111699929605,-0.335366629801002,0,-34
34,1,5,17,6,11,5,3,2,2,3,6,3,2,3,64,3,"5",2,"20",2,1,0.265622579019085,1.5866696402624,0,61
18,1,3,11,5,10,4,3,3,3,3,4,1,5,4,0,50,"3,5",2,"20",2,1,-0.573490807300476,-1.35285779580556,0,-50
63,1,4,11,5,11,4,3,2,2,4,4,3,1,3,50,50,"5",2,"20",1,0,0.641644677392049,2.09541522326469,0,0
51,2,4,18,6,44,7,5,1,1,5,5,1,3,2,91,2,"5",2,"11,1,13,15",5,1,2.5535836306069,-0.335366629801002,1,89
21,2,4,12,6,18,4,5,5,1,5,4,1,3,4,49,53,"3,5",2,"20",1,0,0.992091899194916,-0.335366629801002,0,-4
41,2,6,18,6,36,5,2,3,2,2,5,1,4,1,31,67,"3",2,"11,1,15,16,8,9",1,0,-0.849174186468035,-0.844112212803283,0,-36
35,1,5,17,2,18,1,5,3,1,5,1,2,3,1,0,100,"3,5",1,"20",5,1,1.77283776490091,0.37127871372956,0,-100
60,1,3,11,5,34,6,4,1,1,4,6,2,3,2,90,4,"3,5",2,"20",5,1,1.82915979797277,0.37127871372956,1,86
22,2,3,16,5,11,4,2,3,2,2,4,1,5,4,2,20,"3,5",1,"20",4,1,-0.849174186468035,-1.35285779580556,0,-18
30,2,5,23,5,23,3,2,2,2,3,4,1,5,1,13,65,"3,5",1,"20",3,1,-0.0827791552420761,-1.35285779580556,0,-52
58,1,5,20,5,10,2,2,4,4,1,4,1,5,1,4,82,"3,5",1,"20",5,1,-2.51305012462713,-1.35285779580556,0,-78
56,1,3,16,5,29,1,1,5,5,1,1,1,5,1,0,69,"3,5",1,"20",5,1,-3.70056524520785,-1.35285779580556,0,-69
51,1,5,18,6,34,7,4,2,2,4,7,3,2,2,100,0,"3,5",2,"20",2,1,0.990046411653211,1.5866696402624,1,100
64,1,6,25,2,6,5,2,4,3,4,5,1,4,2,62,2,"5",2,"20",1,0,-0.936243376041668,-0.844112212803283,1,60
45,2,3,20,2,48,5,4,3,2,4,5,1,5,2,90,3,"3,5",2,"20",3,1,0.599673478800215,-1.35285779580556,1,87
64,1,5,24,1,44,5,5,2,2,4,4,1,5,4,1,1,"3,5",2,"20",3,1,1.33844814591437,-1.35285779580556,0,0
59,1,4,18,1,10,4,4,2,3,2,4,2,3,2,72,3,"3,5",2,"20",3,1,-0.210738238559284,0.37127871372956,1,69
55,2,4,18,1,26,5,5,3,2,4,6,1,4,3,60,4,"3,5",2,"20",3,1,0.948075213061377,-0.844112212803283,0,56
38,2,5,22,1,10,4,4,2,2,4,5,1,3,2,47,0,"3,5",2,"20",2,1,0.990046411653211,-0.335366629801002,1,47
47,2,4,18,5,15,4,3,4,3,3,4,2,3,4,51,13,"4",NA,"",3,1,-0.963863740153471,0.37127871372956,0,38
53,1,4,18,2,36,5,4,3,2,4,6,2,3,2,54,4,"3,5",2,"20",3,1,0.599673478800215,0.37127871372956,1,50
19,2,5,25,2,11,4,2,2,1,2,4,2,2,1,81,93,"3,5",2,"11,1,13,15,16,18,8",5,1,-0.0100608001484745,0.880024296731842,0,-12
37,1,4,17,1,36,7,4,2,1,5,7,3,2,2,100,0,"3,5",2,"20",5,1,1.81480896349274,1.5866696402624,1,100
